customer_id,idade,genero,localizacao,tempo_cliente_anos,tipo_politica,premio_mensal,nivel_cobertura,sinistros_ultimo_ano,atraso_pagamento_dias,satisfacao_cliente,numero_interacoes_atendimento,churn
1,49,F,Urbano,8,Compreensiva,308.48,Alta,0,0,4,1,0
2,55,F,Suburbano,7,Compreensiva,309.36,Media,0,0,1,2,0
3,53,M,Urbano,2,Compreensiva,285.77,Alta,0,0,4,2,0
4,48,M,Urbano,1,Terceiros,200.18,Baixa,0,13,1,2,1
5,39,F,Suburbano,13,Compreensiva,298.64,Alta,0,0,5,2,0
6,53,M,Urbano,14,Compreensiva,313.94,Baixa,0,0,4,2,0
7,33,F,Suburbano,9,Terceiros,212.39,Baixa,0,18,3,0,1
8,53,F,Suburbano,8,Terceiros,210.92,Baixa,1,0,3,0,0
9,33,F,Urbano,8,Compreensiva,267.33,Alta,1,0,1,0,0
10,52,M,Urbano,5,Compreensiva,314.28,Media,0,0,3,0,0
11,30,M,Urbano,5,Compreensiva,308.35,Baixa,1,0,4,2,0
12,39,F,Urbano,14,Terceiros,225.13,Alta,2,15,3,2,1
13,41,F,Suburbano,10,Terceiros,187.63,Media,1,0,4,1,0
14,36,F,Urbano,15,Compreensiva,299.3,Media,1,25,2,2,1
15,46,M,Rural,4,Basica,114.35,Media,0,0,4,2,0
16,44,M,Rural,2,Terceiros,242.46,Alta,0,13,2,2,1
17,40,F,Urbano,2,Terceiros,234.46,Baixa,0,0,3,1,0
18,45,M,Rural,6,Terceiros,231.23,Alta,0,10,1,0,0
19,53,M,Suburbano,9,Terceiros,203.08,Media,0,0,1,1,0
20,56,M,Rural,3,Terceiros,240.84,Baixa,2,0,5,2,0
21,46,M,Suburbano,7,Terceiros,197.06,Media,1,12,2,5,0
22,37,F,Urbano,2,Terceiros,211.76,Media,1,15,5,1,1
23,35,F,Urbano,1,Terceiros,231.04,Alta,1,13,5,5,1
24,41,F,Urbano,3,Terceiros,221.18,Media,2,0,2,2,0
25,55,F,Urbano,8,Terceiros,230.53,Media,1,0,1,5,0
26,45,M,Urbano,6,Basica,141.58,Baixa,1,0,4,0,0
27,40,M,Urbano,4,Basica,121.64,Baixa,0,0,1,1,0
28,41,M,Urbano,5,Terceiros,202.59,Media,1,0,2,3,0
29,45,M,Urbano,3,Compreensiva,315.09,Baixa,1,0,3,0,0
30,53,M,Urbano,4,Terceiros,221.02,Alta,0,0,3,2,0
31,66,F,Suburbano,4,Terceiros,260.05,Media,0,0,2,1,0
32,63,M,Urbano,2,Terceiros,171.87,Alta,0,0,2,3,0
33,59,M,Suburbano,4,Compreensiva,295.03,Baixa,1,0,5,0,0
34,45,M,Urbano,5,Terceiros,222.77,Alta,0,0,2,3,0
35,47,F,Urbano,1,Terceiros,209.85,Media,0,12,4,5,0
36,37,M,Urbano,9,Terceiros,212.88,Media,0,13,3,4,0
37,45,F,Suburbano,10,Basica,141.12,Alta,0,14,3,1,0
38,43,M,Suburbano,16,Compreensiva,342.0,Alta,0,0,3,3,0
39,38,M,Urbano,5,Compreensiva,297.32,Baixa,0,13,3,1,0
40,47,F,Urbano,1,Compreensiva,300.08,Baixa,1,0,4,0,0
41,56,F,Rural,16,Basica,118.45,Alta,2,0,3,4,0
42,44,M,Urbano,4,Compreensiva,311.45,Media,1,13,5,3,0
43,45,M,Suburbano,26,Terceiros,240.17,Media,0,0,5,4,0
44,63,F,Urbano,13,Terceiros,280.5,Alta,0,0,2,2,0
45,25,F,Urbano,9,Terceiros,209.75,Media,1,18,1,3,1
46,42,F,Urbano,9,Basica,100.0,Alta,3,0,5,1,0
47,47,M,Urbano,42,Terceiros,228.35,Media,1,12,2,0,0
48,50,M,Suburbano,2,Compreensiva,333.71,Media,0,0,4,4,0
49,65,M,Urbano,11,Terceiros,273.61,Baixa,0,0,2,0,0
50,58,F,Urbano,7,Compreensiva,313.83,Media,0,0,2,2,0
51,42,M,Suburbano,5,Compreensiva,316.85,Media,1,0,5,2,0
52,52,F,Urbano,2,Compreensiva,322.68,Alta,0,0,5,2,0
53,33,F,Suburbano,3,Compreensiva,301.0,Alta,1,0,4,1,0
54,39,F,Suburbano,1,Basica,117.36,Media,0,0,1,2,0
55,50,F,Urbano,1,Terceiros,249.09,Baixa,2,0,2,2,0
56,32,M,Urbano,4,Terceiros,178.5,Alta,0,15,4,0,1
57,60,F,Urbano,2,Terceiros,184.87,Alta,0,0,3,0,0
58,38,F,Suburbano,3,Compreensiva,331.24,Media,1,0,2,3,0
59,41,M,Suburbano,3,Terceiros,203.53,Alta,1,0,4,3,0
60,38,F,Urbano,2,Compreensiva,285.65,Alta,0,8,5,2,0
61,48,F,Urbano,11,Basica,122.3,Media,1,0,2,4,0
62,50,M,Urbano,3,Basica,130.6,Media,0,0,5,2,0
63,44,F,Urbano,5,Compreensiva,280.78,Alta,0,0,4,0,0
64,39,F,Urbano,2,Terceiros,237.23,Alta,0,0,5,2,0
65,48,F,Rural,15,Basica,111.92,Baixa,0,0,1,3,0
66,50,F,Urbano,2,Basica,132.89,Baixa,1,0,5,3,0
67,38,F,Urbano,3,Terceiros,169.59,Alta,1,0,5,4,0
68,56,F,Urbano,2,Basica,138.19,Media,0,19,3,1,1
69,60,F,Urbano,11,Compreensiva,333.04,Alta,0,10,3,1,0
70,35,F,Rural,7,Compreensiva,321.47,Media,0,0,3,1,0
71,46,F,Urbano,4,Basica,139.71,Alta,0,10,5,2,0
72,50,M,Rural,14,Compreensiva,296.69,Alta,0,0,3,4,0
73,70,F,Urbano,4,Terceiros,253.48,Media,0,0,3,1,0
74,28,F,Urbano,5,Terceiros,200.6,Alta,0,14,5,1,1
75,44,M,Suburbano,4,Terceiros,193.22,Media,1,0,3,1,0
76,50,M,Suburbano,17,Compreensiva,307.12,Media,0,15,4,0,0
77,37,F,Urbano,12,Compreensiva,309.74,Media,0,0,3,0,0
78,33,M,Urbano,1,Terceiros,204.6,Baixa,0,0,4,2,0
79,47,F,Suburbano,16,Compreensiva,303.65,Media,0,0,1,2,0
80,37,M,Urbano,6,Terceiros,227.73,Media,0,0,3,2,0
81,41,M,Urbano,2,Terceiros,212.32,Baixa,2,0,4,2,0
82,62,M,Urbano,12,Terceiros,225.35,Media,0,0,3,2,0
83,57,F,Suburbano,4,Terceiros,187.9,Alta,0,18,2,4,1
84,51,M,Urbano,2,Terceiros,229.32,Baixa,1,0,1,1,0
85,28,M,Suburbano,5,Compreensiva,296.04,Media,1,0,3,0,0
86,54,M,Suburbano,6,Compreensiva,297.42,Media,1,0,4,1,0
87,50,M,Urbano,1,Compreensiva,297.99,Baixa,0,0,3,1,0
88,36,M,Urbano,3,Basica,100.0,Media,2,0,4,0,0
89,51,F,Rural,1,Terceiros,195.52,Baixa,0,0,5,2,0
90,41,F,Suburbano,4,Terceiros,204.36,Baixa,0,12,3,1,1
91,44,F,Suburbano,2,Terceiros,232.01,Alta,0,17,2,2,1
92,47,F,Suburbano,2,Terceiros,238.67,Media,0,0,2,4,0
93,45,M,Urbano,3,Compreensiva,306.85,Media,1,0,3,1,0
94,40,M,Urbano,3,Terceiros,210.78,Media,0,0,1,4,0
95,45,M,Urbano,15,Terceiros,241.81,Alta,2,14,3,5,0
96,52,F,Urbano,2,Terceiros,199.91,Baixa,0,0,4,0,0
97,25,M,Urbano,7,Compreensiva,257.1,Media,0,19,5,4,1
98,61,F,Urbano,5,Terceiros,222.15,Media,0,0,4,2,0
99,41,M,Urbano,8,Terceiros,193.43,Alta,1,11,3,3,0
100,50,F,Urbano,2,Compreensiva,318.22,Media,1,0,2,2,0
101,44,F,Urbano,1,Compreensiva,340.89,Media,0,0,1,0,0
102,56,F,Urbano,4,Terceiros,254.51,Alta,0,0,3,2,0
103,50,M,Urbano,11,Terceiros,247.17,Media,2,0,4,3,0
104,36,F,Urbano,8,Compreensiva,302.37,Alta,1,0,3,3,0
105,52,F,Urbano,5,Terceiros,199.8,Media,1,13,4,1,0
106,49,F,Rural,1,Compreensiva,332.72,Alta,0,0,2,2,0
107,48,M,Suburbano,1,Terceiros,212.68,Alta,0,0,4,3,0
108,23,F,Urbano,2,Terceiros,213.67,Media,0,0,2,2,0
109,51,F,Rural,4,Compreensiva,311.77,Alta,1,0,3,3,0
110,59,F,Rural,11,Compreensiva,333.86,Media,0,18,1,3,1
111,57,F,Suburbano,4,Compreensiva,331.08,Media,0,0,5,2,0
112,44,F,Urbano,5,Basica,138.81,Media,0,0,3,0,0
113,43,M,Urbano,4,Terceiros,204.94,Media,0,0,4,3,0
114,44,F,Urbano,2,Basica,170.04,Media,1,0,4,2,0
115,42,F,Urbano,1,Terceiros,216.08,Baixa,0,0,2,3,0
116,54,F,Urbano,1,Terceiros,264.84,Media,2,0,4,1,0
117,46,M,Suburbano,9,Basica,142.0,Alta,0,0,5,2,0
118,39,M,Urbano,9,Terceiros,214.61,Media,0,11,1,0,0
119,55,F,Urbano,7,Compreensiva,316.54,Media,1,0,3,2,0
120,55,F,Suburbano,4,Compreensiva,316.64,Alta,2,0,5,2,0
121,59,M,Suburbano,8,Terceiros,260.7,Media,0,21,4,2,1
122,56,F,Urbano,2,Terceiros,227.27,Alta,0,0,2,1,0
123,48,F,Urbano,2,Terceiros,221.46,Media,1,14,3,0,0
124,32,M,Suburbano,3,Compreensiva,284.81,Media,0,0,2,1,0
125,53,M,Urbano,4,Compreensiva,340.7,Alta,2,11,3,1,0
126,45,F,Urbano,1,Compreensiva,303.63,Media,1,0,4,0,0
127,46,F,Urbano,11,Compreensiva,316.55,Alta,0,0,2,2,0
128,51,M,Urbano,7,Compreensiva,301.27,Media,1,0,2,6,0
129,56,F,Urbano,2,Terceiros,254.14,Alta,1,0,5,0,0
130,42,M,Suburbano,9,Terceiros,250.07,Media,1,0,3,5,0
131,46,M,Urbano,1,Basica,102.43,Media,0,0,4,2,0
132,41,M,Urbano,3,Terceiros,249.74,Alta,1,0,2,3,0
133,33,F,Urbano,4,Basica,100.0,Alta,0,0,4,5,0
134,47,F,Suburbano,2,Compreensiva,304.97,Media,0,0,3,1,0
135,54,M,Suburbano,5,Basica,114.65,Media,0,0,4,2,0
136,43,F,Suburbano,7,Basica,123.61,Alta,1,0,2,2,0
137,47,F,Urbano,1,Compreensiva,336.03,Alta,1,0,1,3,0
138,62,M,Urbano,10,Compreensiva,321.99,Alta,0,12,4,2,0
139,36,F,Urbano,5,Terceiros,255.3,Baixa,0,20,4,0,1
140,43,F,Suburbano,6,Basica,100.0,Media,0,0,3,2,0
141,36,F,Rural,4,Basica,150.78,Alta,1,10,2,2,0
142,37,M,Suburbano,3,Terceiros,213.98,Alta,0,12,2,3,1
